fold,no,clay,silt,sand,BD,omc,hhpa,pF,VWC
1,1066,13.5,25.5,61,1.23,1.27,191.43,2.28,35
1,118,6.6,78.9,14.5,1.24,1.8,22.1,1.422558982,45.1
1,1063,33.1,39.4,28,0.94,2.52,24.77,1.39,55
1,160,37.6,42.2,20.2,1.36,2,10.2,1.08676688,46
1,1031,46.8,22.4,31,0.96,1.12,197.24,2.3,41
1,160,37.6,42.2,20.2,1.36,2,177,2.326139975,27.5
1,1066,13.5,25.5,61,1.23,1.27,23.82,1.38,45
1,1065,34.8,30.7,35,1.09,1.34,13.87,1.14,57
1,1033,46,23.8,30,0.92,1.99,2.64,0.42,65
1,1033,46,23.8,30,0.92,1.99,28.25,1.45,61
1,46,16,77.8,6.2,1.35,0.86,240.3,2.458920479,34.8
1,1047,42,38.7,19,0.87,0.47,68.71,1.84,50
1,23,9.9,76,14.1,1.48,7.72,20,1.379196704,44.5
1,1018,37.2,22,41,1.11,0.91,97.72,1.99,44
1,125,16.7,69.2,14.1,1.69,2.2,424.6,2.706146698,29.8
1,1066,13.5,25.5,61,1.23,1.27,171.79,2.24,36
1,1031,46.8,22.4,31,0.96,1.12,46.56,1.67,59
1,1059,41.3,26.9,32,1.04,1.18,66.99,1.83,44
1,88,12.8,71.9,15.3,1.22,0.01,549.5,2.818134405,24.5
1,1045,51.1,35.3,14,0.77,1.02,20.89,1.32,63
1,152,29.9,54.2,15.9,1.39,5,44.4,1.725549678,39.7
1,1045,51.1,35.3,14,0.77,1.02,7.82,0.89,67
1,1045,51.1,35.3,14,0.77,1.02,26.85,1.43,58
1,160,37.6,42.2,20.2,1.36,2,27.5,1.517499402,39.2
1,115,26,40.5,33.5,0.57,5.74,121.9,2.164170414,44
1,164,29.8,55,15.2,1.58,1.8,45.9,1.739979394,37
1,1018,37.2,22,41,1.11,0.91,41.11,1.61,52
1,149,33.9,50.2,15.9,1.58,0.2,35.7,1.630834924,42.6
1,166,27.7,41.6,30.7,1.15,3,5.4,0.810560468,59.6
1,1047,42,38.7,19,0.87,0.47,41.59,1.62,57
